term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df
cracket,3,2.098612,2,15.574417,32.684662,true,true
excit,3,2.098612,2,15.574417,32.684662,true,true
filler,18,3.890372,3980,8.383741,32.615868,true,false
trailing,33,4.496508,12326,7.253482,32.615335,true,false
drain,32,4.465736,12052,7.27596,32.492516,true,false
rivet,10,3.302585,938,9.828213,32.458511,true,false
low,902,7.804615,274069,4.15189,32.403902,true,false
minute,240,6.480639,119756,4.979809,32.272344,true,false
gla,8,3.079442,498,10.460423,32.212261,true,false
metal,213,6.361292,110172,5.063222,32.208633,true,false
stage,950,7.856462,292148,4.08801,32.117293,true,false
sytem,3,2.098612,3,15.286735,32.080929,true,true
receptical,3,2.098612,3,15.286735,32.080929,true,true
metalic,3,2.098612,3,15.286735,32.080929,true,true
bestand,5,2.609438,80,12.27858,32.040191,true,false
spacer,9,3.197225,782,10.009896,32.003886,true,false
groove,34,4.526361,15060,7.053165,31.925168,true,false
clk,6,2.791759,189,11.426005,31.898657,true,false
ring,140,5.941642,81487,5.364818,31.875829,true,false
upper,417,7.033086,187618,4.53086,31.865931,true,false
applicable,36,4.583519,16733,6.947831,31.845515,true,false
piece,203,6.313206,112979,5.038063,31.806328,true,false
rear,127,5.844187,75568,5.440227,31.793707,true,false
reverser,6,2.791759,200,11.369724,31.741535,true,false
core,152,6.023881,90444,5.260532,31.688814,true,false
impact,257,6.549076,140171,4.822403,31.582287,true,false
swirl,10,3.302585,1279,9.518414,31.435371,true,false
adapter,14,3.639057,3106,8.631616,31.410945,true,false
punt,20,3.995732,6892,7.834767,31.305632,true,false
unkn,3,2.098612,5,14.881269,31.230015,true,false
box,202,6.308268,123589,4.948304,31.215226,true,false
visible,98,5.584967,66064,5.574635,31.134152,true,false
material,301,6.70711,170262,4.627929,31.040032,true,false
inner,108,5.682131,73936,5.46206,31.036143,true,false
exchanger,9,3.197225,1063,9.703238,31.023432,true,false
probe,24,4.178054,10563,7.407822,30.950278,true,false
